road_id,road_name,area,zone,ward,latitude,longitude,road_type,pavement_type,length_km,road_age_years,years_since_last_repair,potholes_per_km,avg_pothole_severity_1_5,crack_percent,surface_distress_index,roughness_iri,drainage_score_0_100,waterlogging_days_per_year,traffic_pcu_per_day,heavy_vehicle_percent,bus_route,near_school_hospital,accident_count_3y,complaints_90d,flood_vulnerability_0_100,civic_importance_0_100,priority_score,priority_label,recommended_action,estimated_cost_cr,recommendation_reason,future_score_12m,future_label_12m,optimization_benefit,condition_score,usage_score,safety_score,drainage_score,civic_score
CHN-RD-011,Anna Nagar School Road,Anna Nagar,8,103,13.067348,80.194809,bus_route,cement_concrete,2.76,15,10,20,5.0,47.8,99.4,9.2,23.0,13.0,51122,23.2,1,0,10,63,57.7,76.0,73.88,Critical,reconstruction,4.14,severe structural damage and high urgency,82.7,Critical,406.75,85.65,67.55,72.33,59.43,57.0
CHN-RD-063,Perambur 2nd Avenue,Perambur,6,71,13.115109,80.244418,bus_route,bituminous,3.86,22,12,17,4.9,68.3,100.0,10.0,25.0,24.0,27454,20.4,0,1,4,59,73.9,98.0,70.56,Critical,reconstruction,5.79,severe structural damage and high urgency,80.06,Critical,518.88,85.67,33.96,60.07,76.42,98.5
CHN-RD-098,Tambaram High Road,Tambaram,15,199,12.928943,80.083981,bus_route,bituminous,5.2,14,8,18,2.4,63.6,78.0,7.7,35.0,30.0,51508,17.1,1,1,8,54,89.3,92.0,69.96,Critical,resurfacing,3.12,surface deterioration is beyond minor patching,80.81,Critical,559.92,67.77,65.35,59.62,84.54,94.0
CHN-RD-099,Royapuram Station Road,Royapuram,5,49,13.114088,80.279396,bus_route,cement_concrete,5.71,12,10,18,4.1,64.4,85.1,10.0,39.0,16.0,34990,22.4,1,0,7,42,55.4,93.0,68.12,Critical,reconstruction,8.56,severe structural damage and high urgency,76.55,Critical,715.4,79.66,57.37,60.75,56.64,69.75
CHN-RD-053,Kodambakkam Market Road,Kodambakkam,10,133,13.040703,80.235549,collector,bituminous,4.66,18,7,18,4.3,55.9,100.0,8.8,26.0,17.0,24405,18.5,0,1,11,56,72.0,99.0,67.91,High,reconstruction,6.99,severe structural damage and high urgency,76.01,Critical,580.25,78.28,28.93,70.75,67.33,99.25
CHN-RD-086,Royapuram Station Road,Royapuram,5,48,13.106336,80.31054,bus_route,bituminous,4.88,20,13,18,3.9,73.2,88.4,9.3,33.0,8.0,24943,19.1,1,1,10,35,52.7,66.0,67.3,High,reconstruction,7.32,severe structural damage and high urgency,74.16,Critical,596.78,81.2,49.9,62.67,48.59,74.5
CHN-RD-077,Adyar Link Road,Adyar,13,173,13.014631,80.257179,bus_route,cement_concrete,5.0,21,13,15,3.4,76.1,90.1,9.7,36.0,12.0,30857,12.7,1,1,10,30,58.2,87.0,67.22,High,reconstruction,7.5,severe structural damage and high urgency,74.75,Critical,610.0,75.44,50.96,62.21,53.86,90.25
CHN-RD-070,Anna Nagar High Road,Anna Nagar,8,103,13.083083,80.217436,interior,bituminous,2.72,24,11,21,3.3,85.0,99.2,10.0,34.0,24.0,13809,1.5,0,0,10,69,79.5,47.0,63.28,High,reconstruction,4.08,severe structural damage and high urgency,72.22,Critical,294.08,85.76,12.65,77.14,74.95,35.25
CHN-RD-044,Guindy School Road,Guindy,13,170,12.996346,80.198451,interior,bituminous,2.07,16,9,19,4.1,46.1,100.0,9.9,16.0,22.0,4616,1.9,0,0,7,59,80.3,71.0,59.36,High,reconstruction,3.1,severe structural damage and high urgency,67.4,High,196.93,78.47,7.18,66.49,79.16,53.25
CHN-RD-027,Kodambakkam Link Road,Kodambakkam,10,133,13.050092,80.236813,interior,paver_block,0.49,16,12,22,4.5,56.1,73.7,7.6,39.0,12.0,12391,5.8,0,0,6,65,52.3,76.0,58.63,High,reconstruction,0.73,severe structural damage and high urgency,65.64,High,45.48,83.45,13.5,58.71,51.04,57.0
CHN-RD-082,Anna Nagar Market Road,Anna Nagar,8,102,13.067444,80.206997,interior,bituminous,2.81,20,9,19,3.4,58.5,88.4,9.5,19.0,7.0,8883,13.4,0,1,8,39,49.4,70.0,58.13,High,reconstruction,4.21,severe structural damage and high urgency,64.02,High,256.37,75.79,14.39,60.26,51.34,77.5
CHN-RD-033,Perambur 2nd Avenue,Perambur,6,70,13.133431,80.221772,bus_route,bituminous,5.16,13,9,9,3.2,30.6,51.3,3.9,29.0,19.0,50615,25.3,1,1,4,34,67.0,95.0,55.4,High,drainage repair,1.81,waterlogging is likely accelerating road failure,63.98,High,300.9,48.21,68.08,30.81,67.12,96.25
CHN-RD-090,T Nagar High Road,T Nagar,10,137,13.027911,80.244004,arterial,cement_concrete,2.67,13,8,8,3.8,32.9,71.6,6.0,73.0,7.0,74872,22.2,1,0,8,19,27.1,83.0,55.14,High,pothole patching,0.48,localized pothole damage can be repaired quickly,63.06,High,116.9,52.77,84.68,41.45,25.75,62.25
CHN-RD-059,Royapuram Canal Bank Road,Royapuram,5,48,13.113793,80.283471,interior,cement_concrete,3.21,18,9,14,2.2,55.9,100.0,10.0,22.0,8.0,4614,1.0,0,1,9,44,51.7,90.0,54.69,Medium,resurfacing,1.93,surface deterioration is beyond minor patching,60.21,High,211.22,64.18,6.82,65.96,52.14,92.5
CHN-RD-094,Mylapore 1st Street,Mylapore,9,123,13.039497,80.277033,arterial,bituminous,5.26,15,0,8,2.8,39.1,57.0,6.2,20.0,18.0,59918,26.6,1,1,3,33,66.1,84.0,53.79,Medium,drainage repair,1.84,waterlogging is likely accelerating road failure,62.32,High,289.16,38.69,77.3,35.87,68.83,88.0
CHN-RD-089,Mylapore Station Road,Mylapore,9,123,13.020951,80.263025,arterial,bituminous,5.74,10,9,11,3.8,38.2,61.8,6.6,34.0,14.0,50524,21.8,0,0,8,35,61.8,42.0,52.11,Medium,pothole patching,1.03,localized pothole damage can be repaired quickly,60.22,High,224.45,57.5,51.63,49.17,57.97,31.5
CHN-RD-042,Kodambakkam Station Road,Kodambakkam,10,132,13.040067,80.218719,interior,bituminous,2.33,14,8,11,3.7,21.2,61.1,7.0,19.0,27.0,12686,2.4,0,1,3,45,80.2,91.0,49.57,Medium,drainage repair,0.82,waterlogging is likely accelerating road failure,57.9,High,108.78,52.06,12.32,42.82,83.91,93.25
CHN-RD-058,Mylapore High Road,Mylapore,9,122,13.050906,80.274824,interior,bituminous,1.04,12,8,12,2.0,64.4,73.7,7.7,17.0,23.0,10594,13.5,0,0,5,38,81.0,72.0,48.67,Medium,resurfacing,0.62,surface deterioration is beyond minor patching,56.46,High,54.2,56.82,15.48,47.15,80.18,54.0
CHN-RD-097,Adyar School Road,Adyar,13,175,12.999014,80.265255,interior,bituminous,2.07,19,8,12,2.8,66.6,79.8,9.3,20.0,9.0,11155,9.2,0,1,0,31,51.5,68.0,48.5,Medium,resurfacing,1.24,surface deterioration is beyond minor patching,54.38,Medium,107.12,62.35,14.1,38.74,53.95,76.0
CHN-RD-084,Tambaram Link Road,Tambaram,15,200,12.934534,80.082969,arterial,bituminous,6.39,5,2,7,3.7,18.8,32.2,2.7,33.0,17.0,50590,19.1,1,1,3,23,61.9,99.0,47.96,Medium,pothole patching,1.15,localized pothole damage can be repaired quickly,55.84,High,211.65,35.0,68.59,20.63,61.85,99.25
CHN-RD-017,Thiruvanmiyur High Road,Thiruvanmiyur,13,178,12.97293,80.256889,bus_route,bituminous,7.2,15,9,6,2.6,40.0,64.1,5.2,88.0,7.0,47223,13.6,1,1,5,8,13.6,99.0,47.58,Medium,pothole patching,1.3,localized pothole damage can be repaired quickly,54.13,Medium,234.72,45.3,61.33,28.11,16.45,99.25
CHN-RD-009,T Nagar Market Road,T Nagar,10,136,13.031153,80.241883,bus_route,bituminous,1.84,16,8,11,2.2,37.7,67.2,5.1,45.0,10.0,21727,21.5,1,0,3,23,45.0,94.0,46.72,Medium,pothole patching,0.33,localized pothole damage can be repaired quickly,52.79,Medium,57.83,49.31,48.89,28.63,44.42,70.5
CHN-RD-039,Kodambakkam Station Road,Kodambakkam,10,131,13.066774,80.219096,interior,bituminous,1.9,15,8,14,3.3,34.6,79.3,7.1,35.0,6.0,9905,10.1,0,0,5,28,48.3,82.0,45.78,Medium,resurfacing,1.14,surface deterioration is beyond minor patching,51.1,Medium,87.6,60.37,13.7,41.58,44.24,61.5
CHN-RD-092,T Nagar 2nd Avenue,T Nagar,10,137,13.038712,80.232372,bus_route,bituminous,2.51,10,4,10,3.2,20.0,68.2,2.6,63.0,2.0,51712,17.0,1,0,5,26,19.5,70.0,43.66,Medium,pothole patching,0.45,localized pothole damage can be repaired quickly,49.64,Medium,68.9,45.09,65.44,25.87,21.13,52.5
CHN-RD-003,Perambur Canal Bank Road,Perambur,6,70,13.129892,80.230024,bus_route,bituminous,4.27,9,8,7,1.5,30.0,59.5,4.2,75.0,5.0,21665,19.6,1,1,6,24,16.0,100.0,42.97,Medium,pothole patching,0.77,localized pothole damage can be repaired quickly,47.93,Medium,113.53,37.16,48.09,32.74,19.38,100.0
CHN-RD-030,Perambur 1st Street,Perambur,6,71,13.116787,80.245416,interior,bituminous,3.33,9,6,8,3.6,42.3,65.8,5.5,19.0,28.0,8068,1.5,0,0,4,29,87.4,61.0,42.36,Medium,drainage repair,1.17,waterlogging is likely accelerating road failure,50.62,Medium,113.53,50.9,9.14,34.36,87.24,45.75
CHN-RD-062,Thiruvanmiyur High Road,Thiruvanmiyur,13,179,12.985653,80.270619,arterial,bituminous,3.86,15,3,7,2.9,29.2,52.5,5.4,71.0,7.0,33312,16.6,1,1,0,15,28.3,83.0,41.93,Medium,pothole patching,0.69,localized pothole damage can be repaired quickly,47.69,Medium,97.72,37.8,57.02,20.02,26.81,87.25
CHN-RD-019,Mylapore Station Road,Mylapore,9,122,13.042865,80.253575,bus_route,paver_block,6.54,5,4,7,3.5,22.2,37.1,3.2,71.0,0.0,43822,15.0,1,1,6,10,14.0,73.0,41.29,Medium,pothole patching,1.18,localized pothole damage can be repaired quickly,46.42,Medium,160.56,37.6,59.81,24.4,14.35,79.75
