road_id,road_name,area,zone,ward,latitude,longitude,road_type,pavement_type,length_km,road_age_years,years_since_last_repair,potholes_per_km,avg_pothole_severity_1_5,crack_percent,surface_distress_index,roughness_iri,drainage_score_0_100,waterlogging_days_per_year,traffic_pcu_per_day,heavy_vehicle_percent,bus_route,near_school_hospital,accident_count_3y,complaints_90d,flood_vulnerability_0_100,civic_importance_0_100
CHN-RD-001,Royapuram Market Road,Royapuram,5,49,13.101297,80.31186,interior,bituminous,1.19,5,5,6,1.4,33.1,24.7,3.6,37,11,4179,3.9,0,0,1,10,44.4,40
CHN-RD-002,Anna Nagar 1st Street,Anna Nagar,8,103,13.076611,80.22582,interior,bituminous,1.54,9,0,1,1,12.2,40.0,4.0,73,5,10027,19.7,0,1,0,9,22.1,87
CHN-RD-003,Perambur Canal Bank Road,Perambur,6,70,13.129892,80.230024,bus_route,bituminous,4.27,9,8,7,1.5,30.0,59.5,4.2,75,5,21665,19.6,1,1,6,24,16.0,100
CHN-RD-004,Mylapore Market Road,Mylapore,9,122,13.026466,80.257394,interior,bituminous,2.11,3,0,0,1,18.3,15.3,3.1,90,1,4296,8.6,0,0,0,0,7.7,54
CHN-RD-005,Nungambakkam High Road,Nungambakkam,9,111,13.056396,80.226992,arterial,bituminous,2.57,4,2,0,3.2,11.6,28.1,3.4,75,2,40016,15.1,1,1,2,0,21.9,70
CHN-RD-006,Velachery Main Road,Velachery,13,176,12.960026,80.203831,interior,bituminous,2.25,9,8,7,2.3,19.9,43.0,3.9,88,3,12438,3.7,0,1,3,18,12.3,95
CHN-RD-007,Kodambakkam High Road,Kodambakkam,10,131,13.041297,80.226806,interior,bituminous,1.09,5,5,6,1.2,24.2,27.8,4.6,84,6,11855,9.3,0,0,2,11,11.4,63
CHN-RD-008,Velachery Canal Bank Road,Velachery,13,178,12.983463,80.208273,interior,bituminous,3.54,15,8,11,3.9,41.5,58.5,6.9,58,3,4104,8.2,0,0,4,15,32.5,56
CHN-RD-009,T Nagar Market Road,T Nagar,10,136,13.031153,80.241883,bus_route,bituminous,1.84,16,8,11,2.2,37.7,67.2,5.1,45,10,21727,21.5,1,0,3,23,45.0,94
CHN-RD-010,Tambaram 2nd Avenue,Tambaram,15,200,12.910629,80.113613,interior,bituminous,1.93,3,0,5,1,20.0,34.6,3.7,24,13,10008,14.2,0,1,6,16,70.4,100
CHN-RD-011,Anna Nagar School Road,Anna Nagar,8,103,13.067348,80.194809,bus_route,cement_concrete,2.76,15,10,20,5,47.8,99.4,9.2,23,13,51122,23.2,1,0,10,63,57.7,76
CHN-RD-012,Velachery Link Road,Velachery,13,177,12.958492,80.229216,interior,bituminous,2.36,5,3,5,1.7,13.4,31.0,4.1,90,0,4588,12.6,0,0,0,8,12.4,40
CHN-RD-013,Tambaram Canal Bank Road,Tambaram,15,199,12.940713,80.086152,arterial,paver_block,3.1,4,3,2,2.2,29.7,37.4,3.1,67,7,43079,14.1,0,0,4,17,27.0,85
CHN-RD-014,Velachery High Road,Velachery,13,178,12.990002,80.220956,bus_route,bituminous,5.08,12,5,7,1.7,39.3,68.9,4.9,89,3,25578,12.5,1,0,0,16,9.8,62
CHN-RD-015,Mylapore 2nd Avenue,Mylapore,9,124,13.039799,80.273993,interior,bituminous,0.79,14,10,9,3.4,39.4,60.4,4.2,75,0,8711,1.7,0,0,4,21,20.2,41
CHN-RD-016,Adyar Canal Bank Road,Adyar,13,173,13.021729,80.243969,bus_route,bituminous,1.65,8,7,6,1.2,17.8,39.7,5.1,55,3,47846,27.3,1,0,2,22,25.1,86
CHN-RD-017,Thiruvanmiyur High Road,Thiruvanmiyur,13,178,12.97293,80.256889,bus_route,bituminous,7.2,15,9,6,2.6,40.0,64.1,5.2,88,7,47223,13.6,1,1,5,8,13.6,99
